seed,update,parameter_id,parameter_name,shape,danger_log10_start,danger_log10_end,active_rank,danger_mode_count,danger_fraction_active_rank,danger_residual_energy_fraction
1,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
1,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
1,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
1,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,201,0.5234375,0.709761059110185
1,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,158,0.4114583333333333,0.6477636631264365
1,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
1,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
1,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
1,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,210,0.546875,0.7528554387181501
1,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,159,0.4140625,0.6517634088781195
1,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,29,0.07552083333333333,0.12243655417073127
1,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,29,0.07552083333333333,0.12220132415312945
1,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,1,0.0026041666666666665,0.0042188647378447845
1,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,201,0.5234375,0.753884575000511
1,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,383,162,0.42297650130548303,0.6571999838906423
1,128,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,66,0.171875,0.2707549805097298
1,128,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,70,0.18229166666666666,0.2861628294235597
1,128,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,17,0.044270833333333336,0.06744066970866071
1,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,196,0.5104166666666666,0.7566375859063783
1,128,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,169,0.4401041666666667,0.6820231819189121
1,128,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,107,0.2786458333333333,0.39871749886631264
1,128,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,106,0.2760416666666667,0.39176298772789664
1,128,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,55,0.14322916666666666,0.21089072756764946
