seed,update,parameter_id,method,t,exact_polar_distortion,exact_polar_relative_l2,s_perp,s_full
1,1024,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.2,0.009029579631785078,0.13438437135161924,0.6746950559495507,0.6746950559495469
1,1024,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.4,0.0342580767977555,0.2617559046048562,0.6746950559495507,0.6746950559495469
1,1024,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.6,0.07080580864640118,0.37631319043159234,0.6746950559495507,0.6746950559495469
1,1024,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.8,0.11344965287328967,0.47633948581508445,0.6746950559495507,0.6746950559495469
1,1024,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,1.0,0.15827559455710571,0.5626288200174357,0.6746950559495507,0.6746950559495469
1,1024,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,1.25,0.21376758711677912,0.6538617393865127,0.6746950559495507,0.6746950559495469
1,1024,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,1.5,0.2664362299062014,0.7299811366140936,0.6746950559495507,0.6746950559495469
1,1024,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,0.05,0.00027487627647915236,0.023446802617078242,0.46743796241686797,0.4674379624168654
1,1024,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,0.1,0.001105167835505072,0.04701420711876856,0.46743796241686797,0.4674379624168654
1,1024,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,0.2,0.004449189103614359,0.09433121544444799,0.46743796241686797,0.4674379624168654
1,1024,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,0.4,0.017753060444840485,0.18843067926873922,0.46743796241686797,0.4674379624168654
1,1024,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,0.6,0.03908730272989658,0.27959722005019827,0.46743796241686797,0.4674379624168654
1,1024,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,0.8,0.06688203871503007,0.36573771671794236,0.46743796241686797,0.4674379624168654
1,1024,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,1.0,0.09927170545517283,0.44558210344485966,0.46743796241686797,0.4674379624168654
1,1024,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,1.25,0.14354901280732046,0.5358152905756186,0.46743796241686797,0.4674379624168654
1,1024,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,1.5,0.18949810695973368,0.6156266838916826,0.46743796241686797,0.4674379624168654
1,1024,transformer.h.5.mlp.c_proj.weight,structural_int4_k8,0.05,0.00019786413849531836,0.019892920273140866,0.397323024859623,0.39732302485962556
1,1024,transformer.h.5.mlp.c_proj.weight,structural_int4_k8,0.1,0.0007928461793001995,0.03982075286338473,0.397323024859623,0.39732302485962556
1,1024,transformer.h.5.mlp.c_proj.weight,structural_int4_k8,0.2,0.003173582042350187,0.0796690911502056,0.397323024859623,0.39732302485962556
1,1024,transformer.h.5.mlp.c_proj.weight,structural_int4_k8,0.4,0.012572662157457781,0.1585727729306331,0.397323024859623,0.39732302485962556
1,1024,transformer.h.5.mlp.c_proj.weight,structural_int4_k8,0.6,0.02763648835578758,0.23510205594927963,0.397323024859623,0.39732302485962556
1,1024,transformer.h.5.mlp.c_proj.weight,structural_int4_k8,0.8,0.047430492807548075,0.3079951064791286,0.397323024859623,0.39732302485962556
1,1024,transformer.h.5.mlp.c_proj.weight,structural_int4_k8,1.0,0.07084477029590652,0.376416711360966,0.397323024859623,0.39732302485962556
1,1024,transformer.h.5.mlp.c_proj.weight,structural_int4_k8,1.25,0.10352857439840402,0.4550353269767198,0.397323024859623,0.39732302485962556
1,1024,transformer.h.5.mlp.c_proj.weight,structural_int4_k8,1.5,0.13827598113754502,0.5258820801996295,0.397323024859623,0.39732302485962556
1,1024,transformer.h.5.mlp.c_proj.weight,structural_vq64_int3_k8,0.05,0.0001701203827714215,0.018445616431815182,0.36782083296656426,0.36782083296656354
1,1024,transformer.h.5.mlp.c_proj.weight,structural_vq64_int3_k8,0.1,0.0006840169087185544,0.03698694117439711,0.36782083296656426,0.36782083296656354
1,1024,transformer.h.5.mlp.c_proj.weight,structural_vq64_int3_k8,0.2,0.0027582725266017682,0.0742734478343624,0.36782083296656426,0.36782083296656354
1,1024,transformer.h.5.mlp.c_proj.weight,structural_vq64_int3_k8,0.4,0.01110901557071553,0.14905714052479413,0.36782083296656426,0.36782083296656354
1,1024,transformer.h.5.mlp.c_proj.weight,structural_vq64_int3_k8,0.6,0.024858649015077616,0.22297376085574586,0.36782083296656426,0.36782083296656354
1,1024,transformer.h.5.mlp.c_proj.weight,structural_vq64_int3_k8,0.8,0.04344247700251702,0.2947625383338862,0.36782083296656426,0.36782083296656354
1,1024,transformer.h.5.mlp.c_proj.weight,structural_vq64_int3_k8,1.0,0.06603404435479043,0.36341173441370955,0.36782083296656426,0.36782083296656354
1,1024,transformer.h.5.mlp.c_proj.weight,structural_vq64_int3_k8,1.25,0.09846725767161046,0.44377304485876995,0.36782083296656426,0.36782083296656354
1,1024,transformer.h.5.mlp.c_proj.weight,structural_vq64_int3_k8,1.5,0.13388398474152596,0.5174630126714874,0.36782083296656426,0.36782083296656354
1,4096,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.05,0.0005384418637682797,0.03281590662393663,0.6557062670221422,0.6557062670221446
1,4096,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.1,0.002150729312998756,0.06558550621902848,0.6557062670221422,0.6557062670221446
