row_bin_label,col_bin_label,energy,energy_fraction
"[-5,-4.5)","[-5.5,-5)",8.53782720516838e-06,5.724266611287938e-06
"[-5,-4.5)","[-6,-5.5)",2.967557486632799e-06,1.989626848799017e-06
"[-5.5,-5)","[-0.5,0)",1.883252951473402e-05,1.2626446672758652e-05
"[-5.5,-5)","[-1,-0.5)",7.694096436239306e-05,5.1585793757143125e-05
"[-5.5,-5)","[-1.5,-1)",0.0002516929707780946,0.00016874992129716024
"[-5.5,-5)","[-2,-1.5)",0.00042987282972717367,0.0002882122848325549
"[-5.5,-5)","[-2.5,-2)",0.00046522196078058187,0.00031191244246804497
"[-5.5,-5)","[-3,-2.5)",0.0003498674955153547,0.00023457195546673987
"[-5.5,-5)","[-3.5,-3)",0.0001902732213352465,0.00012757047217496024
"[-5.5,-5)","[-4,-3.5)",7.059117119467828e-05,4.7328515160952896e-05
"[-5.5,-5)","[-4.5,-4)",2.3323038304212673e-05,1.5637150557202132e-05
"[-5.5,-5)","[-5,-4.5)",4.968755231487426e-06,3.3313487129428043e-06
"[-5.5,-5)","[-6,-5.5)",4.514019691370663e-07,3.0264669899113725e-07
"[-6,-5.5)","[-0.5,0)",9.701932933869895e-06,6.504752254143447e-06
"[-6,-5.5)","[-1,-0.5)",2.6611274734023027e-05,1.784177962181821e-05
"[-6,-5.5)","[-1.5,-1)",9.930046894623956e-05,6.65769340623454e-05
"[-6,-5.5)","[-2,-1.5)",0.00015181843434675102,0.00010178809828606477
"[-6,-5.5)","[-2.5,-2)",0.00016850661756961927,0.00011297684780396231
"[-6,-5.5)","[-3,-2.5)",0.00012578667195839444,8.433485817101e-05
"[-6,-5.5)","[-3.5,-3)",7.285017755975787e-05,4.884308724112853e-05
"[-6,-5.5)","[-4,-3.5)",3.3279103767824836e-05,2.2312288357912414e-05
"[-6,-5.5)","[-4.5,-4)",1.0220774402824873e-05,6.8526144005561415e-06
"[-6,-5.5)","[-5,-4.5)",1.4720354970521043e-06,9.869400544092908e-07
"[-6,-5.5)","[-5.5,-5)",8.054115674671625e-07,5.39995766277216e-07
