seed,update,bin_label,tensor_count,diagonal_energy,left_associated_energy,right_associated_energy,cross_mode_energy,total_energy,residual_fraction,aggregation
1,1024,"[-2,-1.5)",30,0.0002313673712706077,0.041595864269766025,0.039580807846505195,0.04136449663201347,0.16828713659197092,0.24717197708711022,group
1,1024,"[-2.5,-2)",13,6.994508387947462e-05,0.023976751799636986,0.024154000493581407,0.02390680628013797,0.10562955704517663,0.2269890404764491,group
1,1024,"[-3,-2.5)",12,4.3975924825190305e-05,0.01731259483494796,0.017950895562535152,0.017268618670641445,0.09746168949641287,0.17763487298858244,group
1,1024,"[-3.5,-3)",9,2.0010004686099592e-05,0.00807210206585296,0.00816029384623107,0.008052092207435635,0.09211339231114835,0.08763223092019384,group
1,1024,"[-4,-3.5)",6,6.683775694682481e-06,0.002813451981637627,0.0027824106364278123,0.002806768214213662,0.0826742141507566,0.03403058632655753,group
1,1024,"[-4.5,-4)",6,2.3688768422402973e-06,0.001015392947010696,0.0010572951105132233,0.0010130241244041827,0.0826742141507566,0.012281857861498687,group
1,1024,"[-5,-4.5)",6,5.30454958180826e-07,0.0003720297791005578,0.0003881573120452231,0.00037149932177271694,0.0826742141507566,0.004499949384727876,group
1,1024,"[-5.5,-5)",3,1.243577227860726e-07,0.00010807435501192231,9.334206879429985e-05,0.0001079499998013489,0.039405898191034794,0.0027425933673175407,group
1,1024,"[-6,-5.5)",1,1.0551292461968842e-07,5.67460447200574e-05,4.2492109059821814e-05,5.664053242071532e-05,0.017610345035791397,0.0032223130554640644,group
1,2048,"[-0.5,0)",30,0.0021132517217665736,0.006080101122279302,0.005820128215418663,0.0039668493627686985,0.1921447543427348,0.03164333652030921,group
1,2048,"[-1,-0.5)",30,0.0021855937570762762,0.02455216615635436,0.025895817190757953,0.02236657247703988,0.1921447543427348,0.12777952872218343,group
1,2048,"[-1.5,-1)",30,0.0013730808429954777,0.057653979034512304,0.05645117547828704,0.056280897377291694,0.1921447543427348,0.30005492073789863,group
