rank,family,size,component,index,value_0,value_1
4,polar_16x4_uniform,64,0,39,0.471404492855072,0.471404492855072
4,polar_16x4_uniform,64,0,40,0.47140464186668396,-0.4714043140411377
4,polar_16x4_uniform,64,0,41,0.6159196496009827,-0.25512227416038513
4,polar_16x4_uniform,64,0,42,0.6159196496009827,0.25512227416038513
4,polar_16x4_uniform,64,0,43,0.6666666269302368,0.0
4,polar_16x4_uniform,64,0,44,0.7071067690849304,0.7071067690849304
4,polar_16x4_uniform,64,0,45,0.7071070075035095,-0.7071065306663513
4,polar_16x4_uniform,64,0,46,0.9238795042037964,0.3826834559440613
4,polar_16x4_uniform,64,0,47,0.9238795638084412,-0.3826834261417389
4,polar_16x4_uniform,64,0,48,1.0,0.0
4,polar_32x2_log,64,0,0,0.0,0.0
4,polar_32x2_log,64,0,1,-0.009999999776482582,-8.742277457507441e-10
4,polar_32x2_log,64,0,2,-0.009807853028178215,0.0019509030971676111
4,polar_32x2_log,64,0,3,-0.00980785209685564,-0.0019509048433974385
4,polar_32x2_log,64,0,4,-0.009238796308636665,0.0038268326316028833
4,polar_32x2_log,64,0,5,-0.009238794445991516,-0.0038268344942480326
4,polar_32x2_log,64,0,6,-0.00831469614058733,0.005555701907724142
4,polar_32x2_log,64,0,7,-0.008314695209264755,-0.005555702839046717
4,polar_32x2_log,64,0,8,-0.007071067579090595,0.007071067579090595
4,polar_32x2_log,64,0,9,-0.007071066182106733,-0.00707106851041317
4,polar_32x2_log,64,0,10,-0.005555703304708004,0.008314695209264755
4,polar_32x2_log,64,0,11,-0.005555700045078993,-0.008314698003232479
4,polar_32x2_log,64,0,12,-0.00382683495990932,0.009238794445991516
4,polar_32x2_log,64,0,13,-0.0038268312346190214,-0.009238796308636665
4,polar_32x2_log,64,0,14,-0.001950903795659542,-0.00980785209685564
4,polar_32x2_log,64,0,15,-0.001950903213582933,0.009807853028178215
4,polar_32x2_log,64,0,16,-4.3711387287537207e-10,0.009999999776482582
4,polar_32x2_log,64,0,17,1.1924880527480752e-10,-0.009999999776482582
4,polar_32x2_log,64,0,18,0.0019509022822603583,0.009807853028178215
4,polar_32x2_log,64,0,19,0.0019509041449055076,-0.00980785209685564
4,polar_32x2_log,64,0,20,0.003826834261417389,0.00923879537731409
4,polar_32x2_log,64,0,21,0.0038268358912318945,-0.009238794445991516
4,polar_32x2_log,64,0,22,0.005555701907724142,0.00831469614058733
4,polar_32x2_log,64,0,23,0.005555704236030579,-0.00831469427794218
4,polar_32x2_log,64,0,24,0.007071067579090595,0.007071067579090595
4,polar_32x2_log,64,0,25,0.007071069907397032,-0.007071065250784159
4,polar_32x2_log,64,0,26,0.00831469614058733,-0.005555702839046717
4,polar_32x2_log,64,0,27,0.00831469614058733,0.005555702373385429
4,polar_32x2_log,64,0,28,0.009238794445991516,0.0038268344942480326
4,polar_32x2_log,64,0,29,0.00923879537731409,-0.003826834261417389
4,polar_32x2_log,64,0,30,0.009807853028178215,-0.0019509022822603583
4,polar_32x2_log,64,0,31,0.009807853028178215,0.001950903213582933
4,polar_32x2_log,64,0,32,0.009999999776482582,0.0
4,perdim_mse,64,0,0,0.0,0.0
4,perdim_mse,64,0,1,-0.6083475947380066,0.3971428871154785
4,perdim_mse,64,0,2,0.27826839685440063,0.3603055775165558
4,perdim_mse,64,0,3,-0.0210890956223011,-0.4940038025379181
4,perdim_mse,64,0,4,0.8486995697021484,-0.47999292612075806
4,perdim_mse,64,0,5,-0.1332079917192459,0.09971752762794495
4,perdim_mse,64,0,6,0.504758358001709,-0.3749789595603943
4,perdim_mse,64,0,7,0.053808506578207016,0.3779900372028351
4,perdim_mse,64,0,8,-0.5202598571777344,-0.4749191999435425
4,perdim_mse,64,0,9,-0.0839090347290039,-0.6997072100639343
4,perdim_mse,64,0,10,-0.6348374485969543,0.037822164595127106
4,perdim_mse,64,0,11,-0.0403241328895092,-0.018504152074456215
4,perdim_mse,64,0,12,0.2188405841588974,0.5831445455551147
4,perdim_mse,64,0,13,-0.38601139187812805,-0.0050153485499322414
4,perdim_mse,64,0,14,0.9049094915390015,0.011251711286604404
4,perdim_mse,64,0,15,0.4532815217971802,-0.036499764770269394
4,perdim_mse,64,0,16,-0.8149039149284363,0.8844497799873352
4,perdim_mse,64,0,17,0.11885621398687363,-0.9320291876792908
4,perdim_mse,64,0,18,0.4676916003227234,0.581297755241394
4,perdim_mse,64,0,19,-0.8780757784843445,0.16696517169475555
4,perdim_mse,64,0,20,-0.21937458217144012,-0.05863422155380249
4,perdim_mse,64,0,21,-0.21432510018348694,-0.9150204062461853
4,perdim_mse,64,0,22,-0.1472042351961136,0.31118613481521606
4,perdim_mse,64,0,23,-0.4362178146839142,0.7913010716438293
4,perdim_mse,64,0,24,-0.3289434015750885,-0.25186532735824585
4,perdim_mse,64,0,25,0.47474950551986694,-0.5971662402153015
4,perdim_mse,64,0,26,-0.9260883331298828,-0.12815622985363007
4,perdim_mse,64,0,27,-0.358413964509964,0.4343932867050171
4,perdim_mse,64,0,28,0.189102903008461,0.18699167668819427
4,perdim_mse,64,0,29,0.910428524017334,0.2621413767337799
4,perdim_mse,64,0,30,-0.8243557214736938,-0.8418321013450623
4,perdim_mse,64,0,31,0.1882285624742508,-0.2121484875679016
4,perdim_mse,64,0,32,-0.45580777525901794,0.20517279207706451
4,perdim_mse,64,0,33,-0.17516522109508514,-0.33603522181510925
4,perdim_mse,64,0,34,-0.18137583136558533,0.5479018092155457
4,perdim_mse,64,0,35,0.7813585996627808,-0.8240842819213867
4,perdim_mse,64,0,36,-0.2797321677207947,-0.5392206907272339
4,perdim_mse,64,0,37,0.4454557001590729,0.8843433260917664
4,perdim_mse,64,0,38,0.23865827918052673,-0.4118366241455078
4,perdim_mse,64,0,39,-0.916210949420929,-0.4735547602176666
4,perdim_mse,64,0,40,0.01435589324682951,0.6099251508712769
4,perdim_mse,64,0,41,-0.28322523832321167,0.16955596208572388
4,perdim_mse,64,0,42,0.005706992000341415,0.18115100264549255
4,perdim_mse,64,0,43,0.19107918441295624,-0.632734477519989
4,perdim_mse,64,0,44,0.6384524703025818,0.09885448217391968
4,perdim_mse,64,0,45,-0.09564521163702011,-0.17422622442245483
4,perdim_mse,64,0,46,0.7965325117111206,0.5291827917098999
4,perdim_mse,64,0,47,0.3628863990306854,-0.2273617386817932
4,perdim_mse,64,0,48,0.38753172755241394,0.1662929207086563
4,perdim_mse,64,0,49,0.07217570394277573,-0.12272301316261292
4,perdim_mse,64,0,50,-0.5058757066726685,-0.8536297082901001
4,perdim_mse,64,0,51,0.2656496465206146,-0.019680913537740707
4,perdim_mse,64,0,52,-0.6636209487915039,-0.27768275141716003
4,perdim_mse,64,0,53,0.9295509457588196,-0.2112746685743332
4,perdim_mse,64,0,54,-0.8916743397712708,0.47953054308891296
4,perdim_mse,64,0,55,0.1114751547574997,0.03963957354426384
4,perdim_mse,64,0,56,0.030651049688458443,-0.32131093740463257
4,perdim_mse,64,0,57,-0.4997562766075134,-0.15603484213352203
4,perdim_mse,64,0,58,-0.12737531960010529,0.9058285355567932
4,perdim_mse,64,0,59,0.16083233058452606,0.9034319519996643
4,perdim_mse,64,0,60,0.6280081272125244,-0.16593419015407562
4,perdim_mse,64,0,61,0.5362704396247864,0.34225985407829285
4,perdim_mse,64,0,62,0.433419793844223,-0.9170293807983398
4,perdim_mse,64,0,63,0.8697862029075623,0.8627513647079468
4,pca_transform,64,0,0,-0.7799428701400757,0.6258506774902344
4,pca_transform,64,0,1,0.6258506774902344,0.7799428701400757
4,pca_transform,64,1,0,-0.7799428701400757,0.6258506774902344
4,pca_transform,64,1,1,0.6258506774902344,0.7799428701400757
4,pca_mse,64,0,0,0.0,0.0
4,pca_mse,64,0,1,0.742776095867157,-0.005214958917349577
4,pca_mse,64,0,2,0.034525033086538315,0.4046070873737335
4,pca_mse,64,0,3,-0.0861627385020256,-0.22503143548965454
4,pca_mse,64,0,4,-0.9733912944793701,0.24011965095996857
4,pca_mse,64,0,5,0.17658576369285583,-0.04940361902117729
4,pca_mse,64,0,6,-0.6710569858551025,0.13097496330738068
4,pca_mse,64,0,7,0.15288600325584412,0.2845766544342041
4,pca_mse,64,0,8,0.08967944979667664,-0.5575106143951416
4,pca_mse,64,0,9,-0.5065509080886841,-0.7837113738059998
4,pca_mse,64,0,10,0.4502980411052704,-0.3765874207019806
4,pca_mse,64,0,11,0.010497027076780796,-0.058896828442811966
