Kaggle preflight (physical GPU 0 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_int4_4096_s0.json",
  "fingerprint": "d9781e9a40120a433fa25f926216d6f8845066a0e65c515d8b2223cb3f04651e",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0"
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_int4_4096_s0 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[train] 671/4096 | 5496832 tok | loss 6.0022 | lr 9.445e-04 | 1372.2 ms/update | 5970 tok/s
[train] 672/4096 | 5505024 tok | loss 5.9982 | lr 9.444e-04 | 1376.5 ms/update | 5951 tok/s
[train] 673/4096 | 5513216 tok | loss 5.4440 | lr 9.442e-04 | 1381.4 ms/update | 5930 tok/s
[train] 674/4096 | 5521408 tok | loss 5.6510 | lr 9.440e-04 | 1363.5 ms/update | 6008 tok/s
[train] 675/4096 | 5529600 tok | loss 5.7835 | lr 9.439e-04 | 1378.3 ms/update | 5944 tok/s
[train] 676/4096 | 5537792 tok | loss 5.8754 | lr 9.437e-04 | 1369.8 ms/update | 5981 tok/s
[train] 677/4096 | 5545984 tok | loss 5.6288 | lr 9.435e-04 | 1367.5 ms/update | 5991 tok/s
[train] 678/4096 | 5554176 tok | loss 5.8062 | lr 9.434e-04 | 1357.3 ms/update | 6036 tok/s
[train] 679/4096 | 5562368 tok | loss 5.7297 | lr 9.432e-04 | 1367.5 ms/update | 5991 tok/s
[train] 680/4096 | 5570560 tok | loss 5.5721 | lr 9.430e-04 | 1363.8 ms/update | 6007 tok/s
[train] 681/4096 | 5578752 tok | loss 5.8663 | lr 9.429e-04 | 1375.1 ms/update | 5958 tok/s
[train] 682/4096 | 5586944 tok | loss 5.5715 | lr 9.427e-04 | 1376.4 ms/update | 5952 tok/s
[train] 683/4096 | 5595136 tok | loss 5.9829 | lr 9.425e-04 | 1377.3 ms/update | 5948 tok/s
[train] 684/4096 | 5603328 tok | loss 5.9003 | lr 9.423e-04 | 1375.6 ms/update | 5955 tok/s
[train] 685/4096 | 5611520 tok | loss 6.0177 | lr 9.422e-04 | 1377.8 ms/update | 5946 tok/s
[train] 686/4096 | 5619712 tok | loss 5.5144 | lr 9.420e-04 | 1370.4 ms/update | 5978 tok/s
[train] 687/4096 | 5627904 tok | loss 5.8424 | lr 9.418e-04 | 1384.0 ms/update | 5919 tok/s
[train] 688/4096 | 5636096 tok | loss 6.0456 | lr 9.417e-04 | 1367.0 ms/update | 5993 tok/s
[train] 689/4096 | 5644288 tok | loss 5.4237 | lr 9.415e-04 | 1372.9 ms/update | 5967 tok/s
[train] 690/4096 | 5652480 tok | loss 5.7482 | lr 9.413e-04 | 1375.3 ms/update | 5957 tok/s
[train] 691/4096 | 5660672 tok | loss 5.6445 | lr 9.411e-04 | 1377.9 ms/update | 5945 tok/s
[train] 692/4096 | 5668864 tok | loss 5.5600 | lr 9.410e-04 | 1372.1 ms/update | 5970 tok/s
[train] 693/4096 | 5677056 tok | loss 5.9948 | lr 9.408e-04 | 1374.7 ms/update | 5959 tok/s
[train] 694/4096 | 5685248 tok | loss 5.9134 | lr 9.406e-04 | 1384.9 ms/update | 5915 tok/s
