seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_residual_norm,exact_residual_norm,approx_block_absmax_mean,exact_block_absmax_mean,direct_block_absmax_mean,approx_to_exact_block_absmax,approx_to_direct_block_absmax
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",2,4,0,canonical,0.2163662612438202,0.21636609733104706,0.0015300512313842773,0.001530066248960793,0.0017584915040060878,0.9999901652336121,0.870093047618866
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",4,4,0,canonical,0.20750051736831665,0.20749934017658234,0.0014567921170964837,0.001456869300454855,0.0017584915040060878,0.9999470114707947,0.8284328579902649
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",8,4,0,canonical,0.1947716772556305,0.19472983479499817,0.0013518552295863628,0.0013517738552764058,0.0017584915040060878,1.0000602006912231,0.7687584757804871
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",16,4,0,canonical,0.17723336815834045,0.17650629580020905,0.0012193111469969153,0.0012118250597268343,0.0017584915040060878,1.006177544593811,0.6933847069740295
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",1,0,8,canonical,0.24349436163902283,0.22278575599193573,0.0017576547106727958,0.0015795204089954495,0.0017584915040060878,1.1127774715423584,0.9995241165161133
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",2,0,8,canonical,0.2428644448518753,0.21636609733104706,0.0017561103450134397,0.001530066248960793,0.0017584915040060878,1.1477348804473877,0.9986459016799927
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",4,0,8,canonical,0.24187035858631134,0.20749934017658234,0.0017551430501043797,0.001456869300454855,0.0017584915040060878,1.2047361135482788,0.9980958104133606
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",8,0,8,canonical,0.24042943120002747,0.19472983479499817,0.0017551430501043797,0.0013517738552764058,0.0017584915040060878,1.2983999252319336,0.9980958104133606
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",16,0,8,canonical,0.2385813593864441,0.17650629580020905,0.0017551430501043797,0.0012118250597268343,0.0017584915040060878,1.4483468532562256,0.9980958104133606
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",1,2,8,canonical,0.22278571128845215,0.22278575599193573,0.0015795078361406922,0.0015795204089954495,0.0017584915040060878,0.9999920129776001,0.898217499256134
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",2,2,8,canonical,0.21637070178985596,0.21636609733104706,0.001530330628156662,0.001530066248960793,0.0017584915040060878,1.000172734260559,0.8702519536018372
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",4,2,8,canonical,0.20754551887512207,0.20749934017658234,0.0014573287917301059,0.001456869300454855,0.0017584915040060878,1.0003154277801514,0.8287380337715149
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",8,2,8,canonical,0.19504152238368988,0.19472983479499817,0.0013541431399062276,0.0013517738552764058,0.0017584915040060878,1.0017527341842651,0.7700595259666443
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",16,2,8,canonical,0.17775504291057587,0.17650629580020905,0.0012166955275461078,0.0012118250597268343,0.0017584915040060878,1.0040191411972046,0.6918972730636597
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",1,4,8,canonical,0.22278577089309692,0.22278575599193573,0.0015795204089954495,0.0015795204089954495,0.0017584915040060878,1.0,0.8982246518135071
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",2,4,8,canonical,0.21636614203453064,0.21636609733104706,0.0015300684608519077,0.001530066248960793,0.0017584915040060878,1.0000014305114746,0.8701028227806091
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",4,4,8,canonical,0.20749957859516144,0.20749934017658234,0.0014569232007488608,0.001456869300454855,0.0017584915040060878,1.0000369548797607,0.8285073637962341
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",8,4,8,canonical,0.19473357498645782,0.19472983479499817,0.0013517079642042518,0.0013517738552764058,0.0017584915040060878,0.9999512434005737,0.7686747312545776
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",16,4,8,canonical,0.1766052544116974,0.17650629580020905,0.001212503295391798,0.0012118250597268343,0.0017584915040060878,1.000559687614441,0.6895133256912231
