seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_error,exact_error,relative_excess_error,spectral_gap_at_k,condition_proxy,m_multiplies,mt_multiplies
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,2,8,canonical,0.6650450229644775,0.6650431156158447,2.868007413781015e-06,0.0555381178855896,11.954534530639648,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,2,8,canonical,0.5515667200088501,0.5514970421791077,0.00012634307495318353,0.015282735228538513,43.44329071044922,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,2,8,canonical,0.4341685175895691,0.43293264508247375,0.0028546531684696674,0.00393214076757431,168.84754943847656,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,4,8,canonical,0.9218074083328247,0.9218074083328247,0.0,0.1625978946685791,4.083277702331543,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,4,8,canonical,0.7735586166381836,0.7735586166381836,0.0,0.2171524167060852,3.057448387145996,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,4,8,canonical,0.6650431156158447,0.6650431156158447,0.0,0.0555381178855896,11.954534530639648,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,4,8,canonical,0.5514968633651733,0.5514970421791077,-3.242337243136717e-07,0.015282735228538513,43.44329071044922,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,4,8,canonical,0.4329686760902405,0.43293264508247375,8.322543726535514e-05,0.00393214076757431,168.84754943847656,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,0,0,randomized,1.121425747871399,0.9218074083328247,0.2165510207414627,0.1625978946685791,4.083277702331543,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,0,0,randomized,1.1166106462478638,0.7735586166381836,0.44347256422042847,0.2171524167060852,3.057448387145996,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,0,0,randomized,1.1123815774917603,0.6650431156158447,0.6726458072662354,0.0555381178855896,11.954534530639648,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,0,0,randomized,1.109298825263977,0.5514970421791077,1.0114320516586304,0.015282735228538513,43.44329071044922,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,0,0,randomized,1.1070809364318848,0.43293264508247375,1.5571666955947876,0.00393214076757431,168.84754943847656,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,2,0,randomized,0.9218074679374695,0.9218074083328247,6.466062529852934e-08,0.1625978946685791,4.083277702331543,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,2,0,randomized,0.7735590934753418,0.7735586166381836,6.164202090985782e-07,0.2171524167060852,3.057448387145996,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,2,0,randomized,0.6650482416152954,0.6650431156158447,7.707770237175282e-06,0.0555381178855896,11.954534530639648,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,2,0,randomized,0.5522689819335938,0.5514970421791077,0.0013997169444337487,0.015282735228538513,43.44329071044922,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,2,0,randomized,0.44659289717674255,0.43293264508247375,0.031552836298942566,0.00393214076757431,168.84754943847656,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,4,0,randomized,0.9218073487281799,0.9218074083328247,-6.466062529852934e-08,0.1625978946685791,4.083277702331543,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,4,0,randomized,0.7735586762428284,0.7735586166381836,7.705252613732227e-08,0.2171524167060852,3.057448387145996,5,4
