seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_local,approx_medium,approx_distant,direct_local,direct_medium,direct_distant
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",8,2,8,canonical,0.3339603543281555,0.46546870470046997,0.1826270967721939,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",16,2,8,canonical,0.3351897895336151,0.468599796295166,0.17685894668102264,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,4,8,canonical,0.33261916041374207,0.46676045656204224,0.18380318582057953,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,4,8,canonical,0.3327689468860626,0.4673076570034027,0.18314598500728607,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",4,4,8,canonical,0.3369640111923218,0.464118093252182,0.18017634749412537,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",8,4,8,canonical,0.3378845453262329,0.46428343653678894,0.18083132803440094,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",16,4,8,canonical,0.3343348503112793,0.46618524193763733,0.18125000596046448,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,0,0,randomized,0.34024515748023987,0.46120792627334595,0.18300646543502808,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,0,0,randomized,0.3393397331237793,0.46046024560928345,0.18498699367046356,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",4,0,0,randomized,0.33809661865234375,0.4614523649215698,0.1847098022699356,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",8,0,0,randomized,0.33795663714408875,0.46006470918655396,0.18589434027671814,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",16,0,0,randomized,0.33778074383735657,0.4625491201877594,0.18478873372077942,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,2,0,randomized,0.3326144814491272,0.46680763363838196,0.18375873565673828,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,2,0,randomized,0.3342989683151245,0.4673423171043396,0.1818336844444275,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",4,2,0,randomized,0.33622679114341736,0.4649551212787628,0.17933374643325806,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",8,2,0,randomized,0.3388098180294037,0.4615352749824524,0.1815056949853897,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",16,2,0,randomized,0.33825987577438354,0.4652617871761322,0.18157263100147247,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,4,0,randomized,0.33261916041374207,0.46676045656204224,0.18380318582057953,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,4,0,randomized,0.33342647552490234,0.46718862652778625,0.18276134133338928,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",4,4,0,randomized,0.3368292450904846,0.4640519320964813,0.18023240566253662,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",8,4,0,randomized,0.33790192008018494,0.46334823966026306,0.18177804350852966,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",16,4,0,randomized,0.3362962603569031,0.463510125875473,0.1831813007593155,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,0,8,randomized,0.3338371217250824,0.4636160433292389,0.18813565373420715,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,0,8,randomized,0.33210670948028564,0.463742733001709,0.1887897253036499,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",4,0,8,randomized,0.33213311433792114,0.46192896366119385,0.1901206076145172,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",8,0,8,randomized,0.33270198106765747,0.4635843336582184,0.18707358837127686,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",16,0,8,randomized,0.3367536664009094,0.4613150954246521,0.18654105067253113,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,2,8,randomized,0.33259493112564087,0.4667689800262451,0.18381914496421814,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,2,8,randomized,0.33334463834762573,0.4671797752380371,0.1824239194393158,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",4,2,8,randomized,0.33574366569519043,0.46598052978515625,0.17889831960201263,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",8,2,8,randomized,0.33613690733909607,0.46398282051086426,0.1831250637769699,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",16,2,8,randomized,0.3361312747001648,0.46294379234313965,0.18443284928798676,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,4,8,randomized,0.3326191306114197,0.46676045656204224,0.18380317091941833,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,4,8,randomized,0.33265528082847595,0.4674326181411743,0.1831098049879074,0.3342854976654053,0.4669037163257599,0.18474219739437103
