seed,update,parameter_id,shape,error_norm,energy_r1,energy_r2,energy_r4,energy_r8
1,2048,12,"(1024, 384)",0.22881026566028595,0.17129258811473846,0.24093513190746307,0.3070807456970215,0.38922861218452454
1,2048,13,"(1024, 384)",0.22502580285072327,0.1750440001487732,0.24120073020458221,0.3050001263618469,0.386865496635437
1,2048,14,"(384, 1024)",0.541154146194458,0.08418884128332138,0.13080404698848724,0.17988598346710205,0.24974629282951355
1,2048,15,"(1152, 384)",0.2999424338340759,0.4975890517234802,0.5592829585075378,0.6358352303504944,0.7208904027938843
1,2048,16,"(384, 384)",0.4137290418148041,0.32465147972106934,0.4303293228149414,0.498161256313324,0.5843358635902405
1,2048,17,"(1024, 384)",0.2093982845544815,0.16052570939064026,0.20568625628948212,0.26414355635643005,0.34103500843048096
1,2048,18,"(1024, 384)",0.20452232658863068,0.15977804362773895,0.2060496062040329,0.2642614245414734,0.3404385447502136
1,2048,19,"(384, 1024)",0.49449610710144043,0.06798461824655533,0.1103653535246849,0.15783916413784027,0.22806207835674286
1,2048,20,"(1152, 384)",0.3302050530910492,0.45277586579322815,0.5035359263420105,0.5674014687538147,0.653259813785553
1,2048,21,"(384, 384)",0.48314931988716125,0.3436262309551239,0.4590604305267334,0.522007167339325,0.6004506945610046
1,2048,22,"(1024, 384)",0.2090654820203781,0.08434439450502396,0.13940265774726868,0.21654145419597626,0.2988530099391937
1,2048,23,"(1024, 384)",0.20594587922096252,0.0751243382692337,0.13422252237796783,0.21840110421180725,0.30153796076774597
1,2048,24,"(384, 1024)",0.5084914565086365,0.1460626721382141,0.20158761739730835,0.2445908784866333,0.3049769401550293
1,2048,25,"(1152, 384)",0.17477574944496155,0.16642776131629944,0.2809150815010071,0.40429702401161194,0.5528866648674011
1,2048,26,"(384, 384)",0.2703839838504791,0.18896451592445374,0.2903580367565155,0.3992837369441986,0.5057497620582581
1,2048,27,"(1024, 384)",0.22306939959526062,0.12163394689559937,0.18673615157604218,0.25845611095428467,0.3457627296447754
1,2048,28,"(1024, 384)",0.21205060184001923,0.10705869644880295,0.16791769862174988,0.23940107226371765,0.33159467577934265
1,2048,29,"(384, 1024)",0.5901687741279602,0.41459009051322937,0.45016172528266907,0.4911649227142334,0.5441760420799255
1,4096,0,"(1152, 384)",0.3331393301486969,0.3481770157814026,0.5856749415397644,0.7422431707382202,0.8107339143753052
1,4096,1,"(384, 384)",0.7843000292778015,0.3664565980434418,0.5377151370048523,0.7146419286727905,0.806944727897644
1,4096,2,"(1024, 384)",0.3299599587917328,0.30116304755210876,0.40167611837387085,0.4692839980125427,0.5205715894699097
1,4096,3,"(1024, 384)",0.3302469253540039,0.3116341531276703,0.4279315769672394,0.4909936189651489,0.5406534671783447
1,4096,4,"(384, 1024)",0.9721410274505615,0.30483368039131165,0.38361477851867676,0.45326724648475647,0.5223168730735779
1,4096,5,"(1152, 384)",0.3678238093852997,0.6041442155838013,0.6894798874855042,0.7561684250831604,0.8171467185020447
1,4096,6,"(384, 384)",0.7444072365760803,0.5902329087257385,0.7016868591308594,0.7580068707466125,0.8115431070327759
1,4096,7,"(1024, 384)",0.30319032073020935,0.3291725218296051,0.4493192434310913,0.5015679001808167,0.5663843750953674
1,4096,8,"(1024, 384)",0.29581692814826965,0.33922886848449707,0.451267808675766,0.5022992491722107,0.5707982182502747
1,4096,9,"(384, 1024)",0.7717018127441406,0.20886997878551483,0.321445494890213,0.39034348726272583,0.46803560853004456
1,4096,10,"(1152, 384)",0.687998354434967,0.7650440335273743,0.7999840974807739,0.8320645093917847,0.8677302598953247
1,4096,11,"(384, 384)",0.992668092250824,0.6052229404449463,0.755955159664154,0.7842326164245605,0.8198713064193726
1,4096,12,"(1024, 384)",0.2699514627456665,0.1658366471529007,0.2201097458600998,0.28461754322052,0.37268465757369995
1,4096,13,"(1024, 384)",0.2645632028579712,0.1672613024711609,0.22300666570663452,0.28522512316703796,0.37131670117378235
1,4096,14,"(384, 1024)",0.611879825592041,0.07301265001296997,0.10822389274835587,0.15809854865074158,0.22783005237579346
1,4096,15,"(1152, 384)",0.3841860592365265,0.5292648673057556,0.5873152017593384,0.6669639945030212,0.7514822483062744
1,4096,16,"(384, 384)",0.46796032786369324,0.3096696436405182,0.44968143105506897,0.508750855922699,0.5879895687103271
1,4096,17,"(1024, 384)",0.2487534135580063,0.1603834480047226,0.20922882854938507,0.26681962609291077,0.34069886803627014
1,4096,18,"(1024, 384)",0.2432294338941574,0.16363978385925293,0.20897065103054047,0.2658306956291199,0.34356942772865295
1,4096,19,"(384, 1024)",0.5579952001571655,0.06550329178571701,0.10886195302009583,0.1558220386505127,0.22008377313613892
1,4096,20,"(1152, 384)",0.4056582450866699,0.5653033256530762,0.6061351895332336,0.6624888777732849,0.7285319566726685
1,4096,21,"(384, 384)",0.5225116014480591,0.3859574496746063,0.5159898400306702,0.568753182888031,0.6354038119316101
1,4096,22,"(1024, 384)",0.23106339573860168,0.05589846149086952,0.10237506031990051,0.17698922753334045,0.2638797461986542
1,4096,23,"(1024, 384)",0.23034076392650604,0.06330394744873047,0.10867767035961151,0.1776658147573471,0.2673904597759247
1,4096,24,"(384, 1024)",0.5508508086204529,0.14285774528980255,0.1989777833223343,0.24243196845054626,0.29835745692253113
1,4096,25,"(1152, 384)",0.1738293468952179,0.1867745816707611,0.30409497022628784,0.42997094988822937,0.5612764954566956
1,4096,26,"(384, 384)",0.25589659810066223,0.19835782051086426,0.2883770167827606,0.4062485098838806,0.5013319253921509
1,4096,27,"(1024, 384)",0.24675822257995605,0.1111680120229721,0.16998594999313354,0.23661556839942932,0.3178703188896179
1,4096,28,"(1024, 384)",0.2335841953754425,0.0809650793671608,0.133749321103096,0.20472368597984314,0.2909351885318756
1,4096,29,"(384, 1024)",0.6628558039665222,0.42611363530158997,0.46238183975219727,0.5092840194702148,0.5612611770629883
