seed,update,parameter_id,parameter_name,shape,rank_label,kind,residual_error_norm,residual_relative_to_R,error_over_M,error_spectral_norm
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",fixed_1,structural,0.16188164055347443,0.2283516228199005,0.2124158889055252,0.01660563424229622
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",fixed_2,structural,0.15090596675872803,0.22955960035324097,0.19801396131515503,0.0157464686781168
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",fixed_4,structural,0.13025230169296265,0.224022775888443,0.17091289162635803,0.012384855188429356
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",fixed_8,structural,0.10705430060625076,0.214809387922287,0.14047321677207947,0.009800559841096401
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",fixed_16,structural,0.08493536710739136,0.20895221829414368,0.1114494651556015,0.007487439550459385
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",energy_25,structural,0.15090596675872803,0.22955960035324097,0.19801396131515503,0.0157464686781168
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",energy_50,structural,0.11725086718797684,0.2202104777097702,0.15385282039642334,0.011005230247974396
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",energy_75,structural,0.07844478636980057,0.20738857984542847,0.10293272882699966,0.006882963702082634
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",energy_90,structural,0.04609592258930206,0.19250574707984924,0.0604855902493,0.003878258168697357
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",fixed_1,structural,0.03267199173569679,0.1836784929037094,0.14226971566677094,0.003465560730546713
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",fixed_2,structural,0.029214970767498016,0.18391844630241394,0.127216175198555,0.0031770383939146996
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",fixed_4,structural,0.025009674951434135,0.18083243072032928,0.10890427231788635,0.002573325065895915
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",fixed_8,structural,0.020387820899486542,0.18080584704875946,0.08877847343683243,0.0020856596529483795
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",fixed_16,structural,0.015483858995139599,0.18211761116981506,0.0674242451786995,0.0015870141796767712
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",energy_25,structural,0.03267199173569679,0.1836784929037094,0.14226971566677094,0.003465560730546713
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",energy_50,structural,0.029214970767498016,0.18391844630241394,0.127216175198555,0.0031770383939146996
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",energy_75,structural,0.020387820899486542,0.18080584704875946,0.08877847343683243,0.0020856596529483795
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",energy_90,structural,0.012859291397035122,0.18029868602752686,0.055995598435401917,0.0013020832557231188
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",fixed_1,structural,0.10908690840005875,0.18331485986709595,0.1400187462568283,0.011766375973820686
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",fixed_2,structural,0.09837044030427933,0.18371343612670898,0.1262636035680771,0.010321131907403469
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",fixed_4,structural,0.08408457785844803,0.18331223726272583,0.10792695730924606,0.00868656113743782
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",fixed_8,structural,0.06753956526517868,0.1805170476436615,0.08669056743383408,0.0069744279608130455
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",fixed_16,structural,0.05110954865813255,0.18005670607089996,0.06560178101062775,0.005290987901389599
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",energy_25,structural,0.10908690840005875,0.18331485986709595,0.1400187462568283,0.011766375973820686
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",energy_50,structural,0.09837044030427933,0.18371343612670898,0.1262636035680771,0.010321131907403469
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",energy_75,structural,0.06753956526517868,0.1805170476436615,0.08669056743383408,0.0069744279608130455
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",energy_90,structural,0.04311300069093704,0.1781195104122162,0.05533779039978981,0.0044616288505494595
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",fixed_1,structural,0.0284839179366827,0.1918833702802658,0.15451300144195557,0.003520986530929804
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",fixed_2,structural,0.026334211230278015,0.19200162589550018,0.14285175502300262,0.003018396906554699
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",fixed_4,structural,0.02368398755788803,0.19426895678043365,0.12847544252872467,0.0027770576998591423
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",fixed_8,structural,0.020279832184314728,0.19315069913864136,0.11000936478376389,0.0021486615296453238
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",fixed_16,structural,0.016419393941760063,0.19188916683197021,0.08906814455986023,0.0015458569396287203
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",energy_25,structural,0.0284839179366827,0.1918833702802658,0.15451300144195557,0.003520986530929804
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",energy_50,structural,0.024856673553586006,0.19428874552249908,0.13483676314353943,0.0028755608946084976
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",energy_75,structural,0.017598167061805725,0.19297130405902863,0.09546247869729996,0.0016691858181729913
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",energy_90,structural,0.010889929719269276,0.18762004375457764,0.059073179960250854,0.0009340530377812684
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",fixed_1,structural,0.027592504397034645,0.19334478676319122,0.15686920285224915,0.003110947087407112
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",fixed_2,structural,0.02566210925579071,0.19413365423679352,0.14589449763298035,0.003012580331414938
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",fixed_4,structural,0.022889649495482445,0.1957300901412964,0.13013248145580292,0.0026445225812494755
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",fixed_8,structural,0.019371239468455315,0.19390200078487396,0.11012957990169525,0.0019666561856865883
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",fixed_16,structural,0.01586722768843174,0.19458945095539093,0.09020853042602539,0.0015648946864530444
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",energy_25,structural,0.027592504397034645,0.19334478676319122,0.15686920285224915,0.003110947087407112
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",energy_50,structural,0.024036725983023643,0.19465619325637817,0.1366538554430008,0.002824586583301425
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",energy_75,structural,0.01695203222334385,0.19513054192066193,0.09637587517499924,0.0016675215447321534
