seed,update,parameter_id,parameter_name,shape,method,update_cosine,update_relative_l2,update_norm_ratio,update_distortion,exact_polar_cosine,exact_polar_relative_l2,exact_polar_distortion,cached_update_source
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.902104914188385,0.4397447407245636,0.9867031574249268,0.09789508581161499,0.9052864909172058,0.4352424740791321,0.09471350908279419,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5307719707489014,0.9996792078018188,1.0609374046325684,0.46922802925109863,0.5282394289970398,0.9713510870933533,0.4717605710029602,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.6260555982589722,0.8984923958778381,1.0724079608917236,0.37394440174102783,0.6248533725738525,0.8661961555480957,0.37514662742614746,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7111234664916992,0.7929406762123108,1.0777966976165771,0.2888765335083008,0.7055218815803528,0.7674362659454346,0.2944781184196472,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.7099204063415527,0.7939180731773376,1.0763736963272095,0.29007959365844727,0.7018893957138062,0.7721548676490784,0.29811060428619385,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.5080125331878662,1.04104483127594,1.0926930904388428,0.4919874668121338,0.4627090096473694,1.036620855331421,0.5372909903526306,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.6092938780784607,0.9331734776496887,1.1012825965881348,0.3907061219215393,0.5554947257041931,0.9428746700286865,0.4445052742958069,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.6936502456665039,0.8283389806747437,1.102667212486267,0.3063497543334961,0.6233364343643188,0.8679447770118713,0.37666356563568115,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.6973215341567993,0.8228356838226318,1.1014434099197388,0.3026784658432007,0.624026358127594,0.867150068283081,0.375973641872406,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.8176477551460266,0.5978707075119019,0.9788556694984436,0.1823522448539734,0.8237305879592896,0.5937591791152954,0.17626941204071045,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8675684332847595,0.510007381439209,0.9805899262428284,0.13243156671524048,0.8758781552314758,0.49825188517570496,0.12412184476852417,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.9121497869491577,0.41643622517585754,0.985815167427063,0.08785021305084229,0.9200763702392578,0.3998270034790039,0.07992362976074219,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.9070348739624023,0.4283526539802551,0.9856927394866943,0.09296512603759766,0.9155715107917786,0.4109388291835785,0.08442848920822144,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.813329815864563,0.6043348908424377,0.9767796397209167,0.186670184135437,0.8203402757644653,0.5994417667388916,0.17965972423553467,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8664278388023376,0.5120218396186829,0.9798054695129395,0.13357216119766235,0.8755254149436951,0.49895837903022766,0.12447458505630493,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.9095137715339661,0.42263221740722656,0.9858131408691406,0.09048622846603394,0.9182285070419312,0.4044190049171448,0.08177149295806885,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.9059380292892456,0.430510938167572,0.9837477803230286,0.0940619707107544,0.9150972366333008,0.4120871126651764,0.08490276336669922,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.7820180058479309,0.654092013835907,0.9804627895355225,0.2179819941520691,0.7836956977844238,0.6577374339103699,0.21630430221557617,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8515470623970032,0.5393176674842834,0.9779844880104065,0.14845293760299683,0.8578750491142273,0.5331608653068542,0.1421249508857727,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.8846401572227478,0.4761604964733124,0.9811149835586548,0.1153598427772522,0.8912794589996338,0.466316819190979,0.10872054100036621,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.8912802338600159,0.4623511731624603,0.9815071225166321,0.10871976613998413,0.8991401791572571,0.4491414725780487,0.10085982084274292,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.49983328580856323,1.045671820640564,1.085718035697937,0.5001667141914368,0.483845978975296,1.0160250663757324,0.516154021024704,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.6182475686073303,0.9212127923965454,1.0987272262573242,0.3817524313926697,0.6023942232131958,0.8917472958564758,0.3976057767868042,muon_int3_practical_scale/tensor_level_results.csv
