seed,update,parameter_id,parameter_name,shape,method,right_gram_linear_relative_fro,right_gram_quadratic_relative_fro,right_gram_quadratic_over_delta_fro,left_gram_linear_relative_fro,left_gram_quadratic_relative_fro,left_gram_quadratic_over_delta_fro
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.08160032331943512,0.011897114105522633,0.15822969377040863,0.07932394742965698,0.011897081509232521,0.1636190265417099
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.0448477566242218,0.0051879300735890865,0.11689712852239609,0.03575503081083298,0.005187854636460543,0.14752031862735748
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.08513621985912323,0.012471183203160763,0.1620120108127594,0.08184795826673508,0.012471498921513557,0.1700901985168457
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.04422235116362572,0.006153317168354988,0.1406654268503189,0.04358591511845589,0.006153316702693701,0.14276544749736786
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.02261664904654026,0.0025495891459286213,0.11514770239591599,0.022952409461140633,0.002549604279920459,0.11339227855205536
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.015845483168959618,0.001317193266004324,0.08310569822788239,0.01584445871412754,0.0013172058388590813,0.08311183005571365
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.018435407429933548,0.0015201751375570893,0.0848437175154686,0.018485117703676224,0.001520177349448204,0.08460231870412827
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.04877272620797157,0.006408747751265764,0.13301678001880646,0.04604640230536461,0.006408749148249626,0.14110566675662994
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.02190001681447029,0.0023675868287682533,0.10989420115947723,0.02186681516468525,0.0023675858974456787,0.11006665229797363
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.015289170667529106,0.00123034103307873,0.08044899255037308,0.014988379552960396,0.001230341149494052,0.08206254243850708
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.018085408955812454,0.0013941859360784292,0.07878001779317856,0.01796959713101387,0.0013941865181550384,0.07931061834096909
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.049445830285549164,0.006622698158025742,0.13602425158023834,0.05442309007048607,0.00662277964875102,0.12324818968772888
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.03125254064798355,0.004023466259241104,0.13418304920196533,0.03291185945272446,0.0040235067717731,0.12688235938549042
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.01798270270228386,0.002043330343440175,0.11417319625616074,0.021397288888692856,0.0020433582831174135,0.09581940621137619
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.03083133138716221,0.003428629832342267,0.11803565919399261,0.03137385845184326,0.0034286214504390955,0.11574334651231766
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.04584909602999687,0.006703553255647421,0.14813074469566345,0.05306195840239525,0.0067036207765340805,0.12756961584091187
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.031066251918673515,0.004085975233465433,0.13753606379032135,0.033498648554086685,0.004086005967110395,0.12672412395477295
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.018553735688328743,0.0020840971264988184,0.11308205127716064,0.022129077464342117,0.0020841220393776894,0.09462344646453857
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.03135867044329643,0.0035195322707295418,0.11950664222240448,0.03266821801662445,0.0035195171367377043,0.11411730200052261
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.09509526193141937,0.01287035457789898,0.13899913430213928,0.08567450195550919,0.01287019532173872,0.1552707701921463
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.07100026309490204,0.00996505655348301,0.1517874151468277,0.06827989965677261,0.009965082630515099,0.1589352935552597
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.038326580077409744,0.004215042572468519,0.11100908368825912,0.030887870118021965,0.004214969929307699,0.13844750821590424
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.0732593834400177,0.010235975496470928,0.15373042225837708,0.07041256129741669,0.010236281901597977,0.16135895252227783
0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.0507945641875267,0.006134814117103815,0.12254159897565842,0.048965778201818466,0.006134772207587957,0.12725982069969177
0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.017531204968690872,0.0016979384236037731,0.09843554347753525,0.0175301656126976,0.001697949948720634,0.09844224900007248
