objective,target_bits,parameter_id,rank,increment_bytes,gain,gain_per_byte
k5_aware,0.25,5,1,3072,0.0001186361430110805,3.8618536136419435e-08
k5_aware,0.25,5,2,3072,0.00011982168260302184,3.900445397233784e-08
k5_aware,0.25,26,1,1536,5.560525284661888e-05,3.6201336488684167e-08
k5_aware,0.25,26,2,1536,6.890086750521718e-05,4.485733561537577e-08
k5_aware,0.25,26,4,3072,0.00013335190008040287,4.3408821640756146e-08
k5_aware,0.25,26,8,6144,0.00025256722585825786,4.1107946917034155e-08
k5_aware,0.25,26,16,12288,0.0004907033141955952,3.993353793909466e-08
k5_aware,0.25,26,32,24576,0.0010247014870063964,4.16952102460285e-08
k5_aware,0.25,9,1,2816,9.921524504319379e-05,3.5232686449997795e-08
k5_aware,0.25,21,2,1536,5.267657529789416e-05,3.4294645376233175e-08
k5_aware,0.25,21,4,3072,0.00013223933545691846,4.304665867738231e-08
k5_aware,0.25,21,8,6144,0.00024716554871254126,4.022876769409851e-08
k5_aware,0.25,21,16,12288,0.0004717307287700201,3.83895449845394e-08
k5_aware,0.25,21,32,24576,0.001208440371851277,4.917156460983386e-08
k5_aware,0.25,9,2,2816,8.721360735744477e-05,3.0970741249092604e-08
k5_aware,0.25,14,1,2816,8.652024811250936e-05,3.0724519926317244e-08
k5_aware,0.25,6,1,1536,4.106730229913591e-05,2.6736524934333275e-08
k5_aware,0.25,6,2,1536,6.125633235867789e-05,3.9880424712680916e-08
k5_aware,0.25,6,4,3072,0.00010958124226703725,3.5670977300467857e-08
k5_aware,0.25,6,8,6144,0.00027237856041761876,4.433244798463847e-08
k5_aware,0.25,6,16,12288,0.0005531347099631545,4.501421793319942e-08
k5_aware,0.25,6,32,24576,0.0012751971774074555,5.188790598174868e-08
k5_aware,0.25,28,1,2816,7.09584229102167e-05,2.5198303590275816e-08
k5_aware,0.25,5,4,6144,0.0001513908618986648,2.4640439762152472e-08
k5_aware,0.25,5,8,12288,0.00030498705725440223,2.4819910258333516e-08
k5_aware,0.25,5,16,24576,0.0006052184478826383,2.4626401687932876e-08
k5_aware,0.25,5,32,49152,0.0013873149283194774,2.822499447264562e-08
k5_aware,0.25,19,1,2816,6.574835573819326e-05,2.3348137691119767e-08
k5_aware,0.25,16,1,1536,3.47725455280834e-05,2.263837599484596e-08
k5_aware,0.25,16,2,1536,9.967047261613682e-05,6.488963060946407e-08
k5_aware,0.25,16,4,3072,0.0001165231721869664,3.793072011294479e-08
k5_aware,0.25,16,8,6144,0.0002587940104282205,4.212142096813484e-08
k5_aware,0.25,0,1,3072,6.839828033103346e-05,2.2265065211924952e-08
k5_aware,0.25,15,1,3072,6.775017551161056e-05,2.2054093591019062e-08
frobenius,0.5,11,1,1536,0.04206024665848496,2.7382973084951145e-05
frobenius,0.5,6,1,1536,0.02587256093129986,1.6844115189648347e-05
frobenius,0.5,10,1,3072,0.0285386708382962,9.289931913507877e-06
frobenius,0.5,1,1,1536,0.014094604817955547,9.176175011689809e-06
frobenius,0.5,11,2,1536,0.011305341540725489,7.360248398909823e-06
frobenius,0.5,4,1,2816,0.01842552183431756,6.543154060482088e-06
frobenius,0.5,29,1,2816,0.015745617934658118,5.591483641568934e-06
frobenius,0.5,16,1,1536,0.0076847298677391596,5.003079340976015e-06
frobenius,0.5,1,2,1536,0.007347762518490009,4.7836995563086e-06
frobenius,0.5,6,2,1536,0.004811506933957599,3.1324914934619786e-06
frobenius,0.5,1,4,3072,0.009356047878647633,3.045588502163943e-06
frobenius,0.5,15,1,3072,0.007537793218899247,2.453708730110432e-06
frobenius,0.5,9,1,2816,0.006704869275923286,2.38099050991594e-06
frobenius,0.5,21,1,1536,0.003722679317958222,2.4236193476290507e-06
frobenius,0.5,21,2,1536,0.004809962877528329,3.131486248390839e-06
