scope,outcome,predictor,n,pearson,spearman,method,shape,seed
per_shape,actual_update_distortion,right_gram_relative_spectral,240,0.7885549804659735,0.7814172121043766,,"(1152, 384)",
per_shape,actual_update_distortion,tail_angle,240,0.9276848144851539,0.9646295942637892,,"(1152, 384)",
per_shape,actual_update_distortion,prior_gap_proxy,240,-0.01748284815029222,-0.005518175471984916,,"(1152, 384)",
per_shape,actual_update_distortion,gap_skew_score,240,0.534183358719493,0.8060174655809995,,"(1152, 384)",
per_shape,actual_update_distortion,sigma_sum_skew_score,240,0.6998303267612257,0.9059870831090816,,"(1152, 384)",
per_shape,actual_update_distortion,finite_k_skew_score,240,0.8763473940773934,0.9847028594246425,,"(1152, 384)",
per_shape,actual_update_distortion,frechet_relative_l2,240,0.9633889132446036,0.9946032049167517,,"(1152, 384)",
per_shape,actual_update_distortion,frechet_distortion_pred,240,0.9928152930110188,0.9949591138735046,,"(1152, 384)",
per_shape,actual_update_distortion,frozen_norm_frechet_distortion_pred,240,0.9928389350858813,0.9949981770516847,,"(1152, 384)",
per_shape,actual_update_distortion,magnitude_only,240,0.8474216731834032,0.9295254538979743,,"(1152, 384)",
per_shape,actual_update_distortion,symmetric_only,240,0.9079990077654714,0.9448974808590426,,"(1152, 384)",
per_shape,actual_update_distortion,skew_only,240,0.962429004916471,0.9847028594246425,,"(1152, 384)",
per_shape,actual_update_distortion,out_of_subspace_only,240,0.9661641591894404,0.9669204326463999,,"(1152, 384)",
per_shape,actual_update_distortion,orientation_plus_outside,240,0.9872154991767843,0.9885024045556343,,"(1152, 384)",
per_shape,actual_update_distortion,all_channels,240,0.992815295643493,0.9949591138735046,,"(1152, 384)",
per_shape,actual_update_distortion,jvp_output_relative_l2,120,0.9603752331102979,0.9926592124453085,,"(1152, 384)",
per_shape,actual_update_distortion,jvp_predicted_cosine_distortion,120,0.9933837576127166,0.9928953399541633,,"(1152, 384)",
per_shape,actual_polar_distortion,raw_relative_l2,240,0.8142333593844631,0.7575287765412593,,"(1152, 384)",
per_shape,actual_polar_distortion,right_gram_relative_fro,240,0.7595466108337956,0.7151339432976266,,"(1152, 384)",
per_shape,actual_polar_distortion,right_gram_relative_spectral,240,0.7588227629765617,0.7113613083560477,,"(1152, 384)",
per_shape,actual_polar_distortion,tail_angle,240,0.9354641662146125,0.9888991128318199,,"(1152, 384)",
per_shape,actual_polar_distortion,prior_gap_proxy,240,0.1192170768616372,0.13832596941479117,,"(1152, 384)",
per_shape,actual_polar_distortion,gap_skew_score,240,0.5692976371249931,0.8354068647025121,,"(1152, 384)",
per_shape,actual_polar_distortion,sigma_sum_skew_score,240,0.7573498595662597,0.971009045295925,,"(1152, 384)",
per_shape,actual_polar_distortion,finite_k_skew_score,240,0.8947375541571734,0.9781220160072222,,"(1152, 384)",
per_shape,actual_polar_distortion,frechet_relative_l2,240,0.9529213960566887,0.9598855882914632,,"(1152, 384)",
per_shape,actual_polar_distortion,frechet_distortion_pred,240,0.9682704674032897,0.9603335127345959,,"(1152, 384)",
per_shape,actual_polar_distortion,frozen_norm_frechet_distortion_pred,240,0.9682036860900342,0.9602085105644192,,"(1152, 384)",
per_shape,actual_polar_distortion,magnitude_only,240,0.8771647447124097,0.9348462939561438,,"(1152, 384)",
per_shape,actual_polar_distortion,symmetric_only,240,0.94527658623218,0.9839554506154619,,"(1152, 384)",
per_shape,actual_polar_distortion,skew_only,240,0.9645912265371178,0.9781220160072222,,"(1152, 384)",
per_shape,actual_polar_distortion,out_of_subspace_only,240,0.9169378324909773,0.8993741210784907,,"(1152, 384)",
per_shape,actual_polar_distortion,orientation_plus_outside,240,0.9523218963646176,0.9403513949894963,,"(1152, 384)",
per_shape,actual_polar_distortion,all_channels,240,0.9682704715638271,0.9603335127345959,,"(1152, 384)",
per_shape,actual_polar_distortion,jvp_output_relative_l2,120,0.9525771443415045,0.9497187304673934,,"(1152, 384)",
per_shape,actual_polar_distortion,jvp_predicted_cosine_distortion,120,0.9697179996683978,0.9501145912910617,,"(1152, 384)",
per_shape,actual_polar_distortion,exact_polar_pred_distortion,120,0.9930666454607717,0.9925550385443432,,"(1152, 384)",
per_shape,actual_update_distortion,raw_relative_l2,240,0.85856408160727,0.7701001753502663,,"(384, 384)",
per_shape,actual_update_distortion,right_gram_relative_fro,240,0.8132849029924601,0.7469270299831593,,"(384, 384)",
per_shape,actual_update_distortion,right_gram_relative_spectral,240,0.8306541452515627,0.7696279449295993,,"(384, 384)",
per_shape,actual_update_distortion,tail_angle,240,0.9352003234825674,0.955324745221271,,"(384, 384)",
per_shape,actual_update_distortion,prior_gap_proxy,240,0.012494496050466318,0.07200020897461501,,"(384, 384)",
per_shape,actual_update_distortion,gap_skew_score,240,0.3245332449948659,0.7461839615271096,,"(384, 384)",
per_shape,actual_update_distortion,sigma_sum_skew_score,240,0.775005576509944,0.8372272088057083,,"(384, 384)",
per_shape,actual_update_distortion,finite_k_skew_score,240,0.9410214726811763,0.9862384763624367,,"(384, 384)",
per_shape,actual_update_distortion,frechet_relative_l2,240,0.9739167582701564,0.9887472004722303,,"(384, 384)",
per_shape,actual_update_distortion,frechet_distortion_pred,240,0.9883995643137358,0.9889294953037377,,"(384, 384)",
per_shape,actual_update_distortion,frozen_norm_frechet_distortion_pred,240,0.9884576678150987,0.9889694265525443,,"(384, 384)",
per_shape,actual_update_distortion,magnitude_only,240,0.9286946315382626,0.9118144412229378,,"(384, 384)",
per_shape,actual_update_distortion,symmetric_only,240,0.9849784872544652,0.9899234361707665,,"(384, 384)",
per_shape,actual_update_distortion,skew_only,240,0.9831096295945408,0.9862384763624367,,"(384, 384)",
per_shape,actual_update_distortion,out_of_subspace_only,240,-0.059963901096653296,0.0034812036372645423,,"(384, 384)",
per_shape,actual_update_distortion,orientation_plus_outside,240,0.9831096295945408,0.9862384763624367,,"(384, 384)",
per_shape,actual_update_distortion,all_channels,240,0.9883995638718123,0.9889294953037377,,"(384, 384)",
