seed,update,parameter_id,shape,method,out_of_subspace_delta_norm_sq,out_of_subspace_fraction,frechet_relative_l2
0,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,148.96048815936695,0.6085085205508706,0.8644778728485107
0,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,680.5380841346359,0.6183931206280062,1.8329286575317383
0,512,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.0,0.0,1.361573576927185
0,512,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0,0.0,1.0016950368881226
0,512,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0,0.0,0.9850609302520752
0,512,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.0,0.0,2.0725457668304443
0,512,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,29.949869471361225,0.7175441041021134,0.3670301139354706
0,512,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,18.412870912177734,0.7329350467436014,0.28474530577659607
0,512,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,17.17868173567357,0.7084427268503302,0.27975064516067505
0,512,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,39.308298158308475,0.7301888420419903,0.4168243408203125
0,512,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,30.728673178239372,0.7153458034871296,0.37251147627830505
0,512,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,19.155983481536254,0.731873437824945,0.29077696800231934
0,512,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,17.811742332690994,0.703870483206866,0.2859121263027191
0,512,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,39.16285877330629,0.7282268011111784,0.4168018400669098
0,512,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,45.097444944076784,0.7425722803568011,0.4489116072654724
0,512,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,31.295738390125752,0.7557112070064678,0.3706968426704407
0,512,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,27.092282071904627,0.7379643977348361,0.34902724623680115
0,512,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,62.53492197931657,0.7482613239689837,0.5266097187995911
0,512,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,412.182073349469,0.6317367003001441,1.4266306161880493
0,512,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,226.8889948985743,0.6350734039901678,1.0556739568710327
0,512,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,221.71277745750882,0.6321584357561207,1.0459656715393066
0,512,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,868.6443023029317,0.6295614358375883,2.0746123790740967
0,512,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.0,0.0,1.553466796875
0,512,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0,0.0,1.1411328315734863
0,512,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0,0.0,1.1329636573791504
0,512,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.0,0.0,2.2640810012817383
0,512,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,38.49589396331566,0.7218282467274205,0.42008084058761597
0,512,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,24.523094392476708,0.7391290532916025,0.3313371241092682
