seed,update,parameter_id,shape,method,channel,delta_norm_sq,fraction_of_total_derivative_energy
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,magnitude,0.5853328052820506,0.0016330510416612944
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,symmetric,64.70566010240175,0.180525753345896
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,skew,124.81607741948108,0.3482309950964419
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,out_of_subspace,168.3228320687604,0.4696127976507548
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,magnitude,1.0033319033448151,0.0029481089528901453
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,symmetric,62.107292568256796,0.18249102281094293
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,skew,118.74533423513228,0.3489116431018302
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,out_of_subspace,158.47527163439946,0.46565086344763357
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,magnitude,3.1581206709540175,0.001990298177132296
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,symmetric,293.63857911189007,0.1850557308076407
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,skew,553.446800575746,0.34879102893584363
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,out_of_subspace,736.5150727305861,0.4641635831614141
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,magnitude,3.122668368091849,0.0048415468693336775
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,symmetric,271.72041268149286,0.4212894096583239
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,skew,370.1308896703536,0.5738701132782218
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,out_of_subspace,0.0,0.0
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,magnitude,1.2891331014545615,0.0036455625122546044
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,symmetric,149.43571956068192,0.4225919391935
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,skew,202.8924768580029,0.5737632575080466
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,out_of_subspace,0.0,0.0
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,magnitude,1.6396590268359352,0.004839866163559364
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,symmetric,141.96253307776834,0.4190381348139996
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,skew,195.18057256398737,0.5761245682643428
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,out_of_subspace,0.0,0.0
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,magnitude,8.439163102569562,0.004918721935881891
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,symmetric,711.6377774330826,0.41477434476844627
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,skew,995.6480542107488,0.5803082444482432
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,out_of_subspace,0.0,0.0
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,magnitude,0.6344078367845715,0.005911856717746025
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,symmetric,7.460000642030402,0.06951751279351416
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,skew,17.44323643400191,0.16254829860590758
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,out_of_subspace,81.77409520127246,0.7620283136846057
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,magnitude,0.14826167798531004,0.0022557552398132347
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,symmetric,4.432098780010507,0.06743300212324006
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,skew,10.32285940414339,0.15705908976059862
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,out_of_subspace,50.823064101288224,0.7732570864414737
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,magnitude,0.5087678507961761,0.007728482597448173
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,symmetric,4.631301840653876,0.0703521962384424
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,skew,10.805007590004003,0.16413441414185556
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,out_of_subspace,49.88561866508004,0.7577918595144544
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,magnitude,0.1780736320110244,0.0009327909143394832
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,symmetric,13.322164084173993,0.06978457998929313
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,skew,31.583070044516642,0.16543943340611345
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,out_of_subspace,145.82191357635116,0.763848945851774
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,magnitude,0.6422840135302677,0.005987266353208093
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,symmetric,7.142714174288565,0.0665832113915523
